gene_reaction_rule_source	gene_reaction_rule_sink
locustag:STM0999	locustag:STM3952
locustag:STM1473	locustag:STM3952
locustag:STM2267	locustag:STM3952
locustag:STM0320	locustag:STM2023
locustag:STM0320	locustag:STM2022
locustag:STM0320	locustag:STM2021
locustag:STM0320	locustag:STM2020
locustag:STM0999	locustag:STM2023
locustag:STM0999	locustag:STM2022
locustag:STM0999	locustag:STM2021
locustag:STM0999	locustag:STM2020
locustag:STM1473	locustag:STM2023
locustag:STM1473	locustag:STM2022
locustag:STM1473	locustag:STM2021
locustag:STM1473	locustag:STM2020
locustag:STM2267	locustag:STM2023
locustag:STM2267	locustag:STM2022
locustag:STM2267	locustag:STM2021
locustag:STM2267	locustag:STM2020
locustag:STM3947	locustag:STM3013
locustag:STM3947	locustag:STM0123
locustag:STM0072	locustag:STM0074
locustag:STM0072	locustag:STM0071
locustag:STM0320	locustag:STM1499
locustag:STM0320	locustag:STM1498
locustag:STM0320	locustag:STM1497
locustag:STM0320	locustag:STM1496
locustag:STM0320	locustag:STM0964
locustag:STM0320	locustag:STM0965
locustag:STM0320	locustag:STM0966
locustag:STM0320	locustag:STM4305_S
locustag:STM0320	locustag:STM4306
locustag:STM0320	locustag:STM4307
locustag:STM0320	locustag:STM2528
locustag:STM0320	locustag:STM2530
locustag:STM0320	locustag:STM2529
locustag:STM0999	locustag:STM1499
locustag:STM0999	locustag:STM1498
locustag:STM0999	locustag:STM1497
locustag:STM0999	locustag:STM1496
locustag:STM0999	locustag:STM0964
locustag:STM0999	locustag:STM0965
locustag:STM0999	locustag:STM0966
locustag:STM0999	locustag:STM4305_S
locustag:STM0999	locustag:STM4306
locustag:STM0999	locustag:STM4307
locustag:STM0999	locustag:STM2528
locustag:STM0999	locustag:STM2530
locustag:STM0999	locustag:STM2529
locustag:STM1473	locustag:STM1499
locustag:STM1473	locustag:STM1498
locustag:STM1473	locustag:STM1497
locustag:STM1473	locustag:STM1496
locustag:STM1473	locustag:STM0964
locustag:STM1473	locustag:STM0965
locustag:STM1473	locustag:STM0966
locustag:STM1473	locustag:STM4305_S
locustag:STM1473	locustag:STM4306
locustag:STM1473	locustag:STM4307
locustag:STM1473	locustag:STM2528
locustag:STM1473	locustag:STM2530
locustag:STM1473	locustag:STM2529
locustag:STM2267	locustag:STM1499
locustag:STM2267	locustag:STM1498
locustag:STM2267	locustag:STM1497
locustag:STM2267	locustag:STM1496
locustag:STM2267	locustag:STM0964
locustag:STM2267	locustag:STM0965
locustag:STM2267	locustag:STM0966
locustag:STM2267	locustag:STM4305_S
locustag:STM2267	locustag:STM4306
locustag:STM2267	locustag:STM4307
locustag:STM2267	locustag:STM2528
locustag:STM2267	locustag:STM2530
locustag:STM2267	locustag:STM2529
locustag:STM0320	locustag:STM1818
locustag:STM0320	locustag:STM1350
locustag:STM0999	locustag:STM1818
locustag:STM0999	locustag:STM1350
locustag:STM1473	locustag:STM1818
locustag:STM1473	locustag:STM1350
locustag:STM2267	locustag:STM1818
locustag:STM2267	locustag:STM1350
locustag:STM0320	locustag:STM0168
locustag:STM0999	locustag:STM0168
locustag:STM1473	locustag:STM0168
locustag:STM2267	locustag:STM0168
locustag:STM0320	locustag:STM3113
locustag:STM0999	locustag:STM3113
locustag:STM1473	locustag:STM3113
locustag:STM2267	locustag:STM3113
locustag:STM0320	locustag:STM1686
locustag:STM0999	locustag:STM1686
locustag:STM1473	locustag:STM1686
locustag:STM2267	locustag:STM1686
locustag:STM4568	locustag:STM2498
locustag:STM4570	locustag:STM2498
locustag:STM4568	locustag:STM2662
locustag:STM4570	locustag:STM2662
locustag:STM3692	locustag:STM2167
locustag:STM0320	locustag:STM2460
locustag:STM0999	locustag:STM2460
locustag:STM1473	locustag:STM2460
locustag:STM2267	locustag:STM2460
locustag:STM2421	locustag:STM2183
locustag:STM2421	locustag:STM0661
locustag:STM2421	locustag:STM2122
locustag:STM0320	locustag:STM2409
locustag:STM0999	locustag:STM2409
locustag:STM1473	locustag:STM2409
locustag:STM2267	locustag:STM2409
locustag:STM0980	locustag:STM2277
locustag:STM0980	locustag:STM2278
locustag:STM0980	locustag:STM2807
locustag:STM0980	locustag:STM2808
locustag:STM0980	locustag:STM1433
locustag:STM0980	locustag:STM2808)
locustag:STM0980	locustag:STM1165
locustag:STM0980	locustag:STM0872
locustag:STM0980	locustag:STM3702
locustag:STM0320	locustag:STM3787
locustag:STM0999	locustag:STM3787
locustag:STM1473	locustag:STM3787
locustag:STM2267	locustag:STM3787
locustag:STM2976	locustag:STM2977
locustag:STM0320	locustag:STM2408
locustag:STM0999	locustag:STM2408
locustag:STM1473	locustag:STM2408
locustag:STM2267	locustag:STM2408
locustag:STM0320	locustag:STM3506
locustag:STM0320	locustag:STM2861
locustag:STM0320	locustag:STM2862
locustag:STM0320	locustag:STM2863
locustag:STM0320	locustag:STM2864
locustag:STM0999	locustag:STM3506
locustag:STM0999	locustag:STM2861
locustag:STM0999	locustag:STM2862
locustag:STM0999	locustag:STM2863
locustag:STM0999	locustag:STM2864
locustag:STM1473	locustag:STM3506
locustag:STM1473	locustag:STM2861
locustag:STM1473	locustag:STM2862
locustag:STM1473	locustag:STM2863
locustag:STM1473	locustag:STM2864
locustag:STM2267	locustag:STM3506
locustag:STM2267	locustag:STM2861
locustag:STM2267	locustag:STM2862
locustag:STM2267	locustag:STM2863
locustag:STM2267	locustag:STM2864
locustag:STM0320	locustag:STM1117
locustag:STM0999	locustag:STM1117
locustag:STM1473	locustag:STM1117
locustag:STM2267	locustag:STM1117
locustag:STM0202	locustag:STM0372
locustag:STM0320	locustag:STM3556
locustag:STM0320	locustag:STM3557
locustag:STM0320	locustag:STM3554
locustag:STM0320	locustag:STM3555
locustag:STM0999	locustag:STM3556
locustag:STM0999	locustag:STM3557
locustag:STM0999	locustag:STM3554
locustag:STM0999	locustag:STM3555
locustag:STM1473	locustag:STM3556
locustag:STM1473	locustag:STM3557
locustag:STM1473	locustag:STM3554
locustag:STM1473	locustag:STM3555
locustag:STM2267	locustag:STM3556
locustag:STM2267	locustag:STM3557
locustag:STM2267	locustag:STM3554
locustag:STM2267	locustag:STM3555
locustag:STM0320	locustag:STM2282
locustag:STM0999	locustag:STM2282
locustag:STM1473	locustag:STM2282
locustag:STM2267	locustag:STM2282
locustag:STM0320	locustag:STM4035
locustag:STM0320	locustag:STM4036
locustag:STM0320	locustag:STM4037
locustag:STM0320	locustag:STM1570
locustag:STM0320	locustag:STM1569
locustag:STM0320	locustag:STM1568
locustag:STM0999	locustag:STM4035
locustag:STM0999	locustag:STM4036
locustag:STM0999	locustag:STM4037
locustag:STM0999	locustag:STM1570
locustag:STM0999	locustag:STM1569
locustag:STM0999	locustag:STM1568
locustag:STM1473	locustag:STM4035
locustag:STM1473	locustag:STM4036
locustag:STM1473	locustag:STM4037
